bias,Log Density,Log Commute Time,Log Household Size,Share Male,Share Hispanic,Share Black,Share Asian,Share 20-40,Share 40-60,Share $>$60,Log Mean Income,Share Pub. Trans.,Uninsured
1.0,11.359626,3.7400477,1.0818052,0.44975192139313164,0.5587609,0.2915123,0.035909418,0.0032304942,0.0024506275,0.0011992898,10.505861744654162,0.6505926549646998,0.11598277
1.0,10.523424,3.7471483,1.0577903,0.47237025922284887,0.5587609,0.2915123,0.035909418,0.0032620167,0.0021503596,0.0011879754,10.443192135852495,0.7295246942251122,0.1559538
1.0,10.934845,3.7658405,1.068153,0.48153108698717045,0.5587609,0.2915123,0.035909418,0.0033011418,0.0023076744,0.001337469,10.542468895852291,0.6819410562405221,0.13437478
1.0,11.408395,3.7704594,1.1184149,0.45990683131397425,0.5587609,0.2915123,0.035909418,0.0029947078,0.0024446745,0.001319256,10.6251250034957,0.6747316718209933,0.1112572
1.0,11.11116,3.7819142,1.0986123,0.4724586350901306,0.5587609,0.2915123,0.035909418,0.003037744,0.0023933498,0.0011851774,10.590968711469447,0.6610608506325313,0.1256011
1.0,11.233173,3.744787,1.10194,0.47139988491844476,0.5587609,0.2915123,0.035909418,0.003418979,0.0021482673,0.0011991968,10.705825404334252,0.6618094953717527,0.13333099
1.0,10.986705,3.7977338,1.0986123,0.4794764290827283,0.5587609,0.2915123,0.035909418,0.0031496063,0.002299417,0.0013905307,10.572162721171585,0.6786596119929453,0.13162158
1.0,10.7055855,3.7518542,1.0715836,0.46865332719015335,0.5587609,0.2915123,0.035909418,0.0031529323,0.0023902454,0.0014789706,10.591396035047872,0.6460252935862691,0.11180073
1.0,9.991993,3.706228,0.96317434,0.4946394621822387,0.5587609,0.2915123,0.035909418,0.003100292,0.0026712532,0.0021081516,11.178724646724019,0.44857889998713935,0.09967525
1.0,10.844891,3.8480177,0.97832614,0.46272162448855886,0.5587609,0.2915123,0.035909418,0.003196065,0.0026592412,0.0017106128,11.033969886322664,0.6264834986181109,0.08829423
1.0,10.716455,3.8177123,0.90421814,0.47329920535800063,0.5587609,0.2915123,0.035909418,0.0028884346,0.0024518617,0.0023911998,11.315729835576818,0.571778774289985,0.07815982
1.0,7.139819,3.634951,0.84156716,0.44011512065530217,0.5587609,0.2915123,0.035909418,0.0022780607,0.002740757,0.002915652,11.515362493003646,0.21523472099202834,0.07128625
1.0,9.511711,3.706228,0.9932518,0.49020759447920664,0.5587609,0.2915123,0.035909418,0.002526147,0.0027716914,0.002463575,11.404761021979668,0.31229575163398693,0.06451466
1.0,10.448056,3.8458831,1.137833,0.45023039595481795,0.5587609,0.2915123,0.035909418,0.0027966944,0.0027942476,0.0018172056,11.10260860613104,0.5055602810068361,0.10716538
1.0,10.659358,3.8286414,1.0224509,0.4826904729453455,0.5587609,0.2915123,0.035909418,0.0031264236,0.0023951011,0.0017217041,10.79098778694702,0.6254719721173395,0.11752876
1.0,11.105256,3.8177123,1.0952734,0.4717282408540119,0.5587609,0.2915123,0.035909418,0.0033005395,0.0024716381,0.00135416,10.763356070097183,0.6986828652192217,0.14020121
