bias,Log Density,Log Commute Time,Log Household Size,Share Male,Share Hispanic,Share Black,Share Asian,Share 20-40,Share 40-60,Share >60,log_mean_income,share_public_trans,uninsured,Essential - Pro,Nonessential - Pro,Science,Legal,Health Practice,Health Other,Firefighters,Law Enforcement,Essential - Service,Nonessential - Service,Industrial,Essential - Tech,Transportation
1.0,10.12882,3.2846637,0.65752,0.5076653976746579,0.25983208,0.1254897,0.119046666,0.00625373,0.0021277908,0.0007428748,11.934237675171072,0.4440465532676813,0.0760836,0.27125365,0.31276968,0.014927113,0.04069971,0.017142856,0.017026238,0.007580175,0.0057142857,0.04303207,0.03265306,0.022157434,0.004198251,0.004897959
1.0,10.9505625,3.2995338,0.5187938,0.519402769763416,0.25983208,0.1254897,0.119046666,0.0043445854,0.0027892385,0.0021593096,11.954831785971594,0.4324284827006686,0.051157977,0.32188326,0.3211452,0.010671013,0.04981856,0.045544006,0.01328495,0.004428317,0.0031674765,0.03647211,0.015898887,0.018143797,0.004951104,0.0034749985
1.0,11.128129,3.2809112,0.52472854,0.4472684779433246,0.25983208,0.1254897,0.119046666,0.0031035156,0.002398481,0.0035465965,12.414528864092507,0.40493192910351916,0.02021121,0.38627243,0.34385002,0.030991212,0.0878423,0.082507744,0.0074175685,0.0057409946,0.0011177158,0.024081694,0.0231672,0.007112737,0.0030991212,0.0026418737
1.0,11.7270355,3.3945084,0.59332687,0.4455408524888643,0.25983208,0.1254897,0.119046666,0.0030999447,0.0027123906,0.002662971,12.253828942109308,0.5959053580658129,0.036018603,0.29700598,0.3711353,0.017206404,0.07053648,0.043235976,0.014322376,0.0016375412,0.001148723,0.015055603,0.016668703,0.015031162,0.0013198094,0.0023707687
1.0,11.142826,3.4750671,0.7030975,0.44707068635493574,0.25983208,0.1254897,0.119046666,0.0028334358,0.002950335,0.0025387956,12.344464083976316,0.7065441198412462,0.046564568,0.2848151,0.3586457,0.024339484,0.060632978,0.049059667,0.009745945,0.002284206,0.0008121621,0.028552575,0.026293749,0.015634121,0.005761275,0.0031471283
1.0,11.771813,3.508556,0.74193734,0.4488355830560912,0.25983208,0.1254897,0.119046666,0.003071984,0.0026027209,0.0026547434,11.90233571411686,0.6815043682079693,0.048915375,0.17905416,0.3560886,0.018876426,0.03953951,0.035453502,0.017959792,0.007628251,0.0026411458,0.034428116,0.022061337,0.019404655,0.008591493,0.011341391
1.0,11.656694,3.5695326,0.9282193,0.4661513526991647,0.25983208,0.1254897,0.119046666,0.003745917,0.002797656,0.0014160329,11.469067616906344,0.7828192709660974,0.07440715,0.13964269,0.2726873,0.016241455,0.017256547,0.027339784,0.03231373,0.014786492,0.001387291,0.06202206,0.033768695,0.029742166,0.0072409827,0.019625094
1.0,11.189372,3.5145261,0.9001613,0.46448405109768226,0.25983208,0.1254897,0.119046666,0.0040425304,0.002202249,0.0014269105,11.260970831801899,0.6628502889543125,0.08129321,0.089461036,0.26263902,0.013382491,0.018617347,0.015623091,0.03639956,0.007393979,0.000692549,0.050922718,0.025644682,0.029962929,0.0058662975,0.012425143
1.0,11.4549055,3.566712,0.9001613,0.4562609749462073,0.25983208,0.1254897,0.119046666,0.0035285535,0.002296268,0.0018554151,11.09493726930676,0.6990267490971415,0.09147027,0.09222825,0.22604586,0.010134781,0.012147733,0.029931735,0.026676003,0.012655348,0.0011552599,0.0782076,0.03280238,0.036250655,0.0029406617,0.02217749
1.0,11.569902,3.6402142,0.87962675,0.46341544276099855,0.25983208,0.1254897,0.119046666,0.0037516162,0.002623413,0.0014965355,11.091163277944997,0.7217916231927262,0.10290754,0.07542426,0.2621891,0.0037263178,0.009023974,0.01032594,0.030753344,0.022896651,0.008664811,0.07955464,0.03744276,0.035108197,0.0076771122,0.03636527
