varnames,week0_ppc_spec1_est,week0_ppc_spec1_se,week0_ppc_spec1_pval,week0_ppc_spec2_est,week0_ppc_spec2_se,week0_ppc_spec2_pval,week0_sp_spec1_est,week0_sp_spec1_se,week0_sp_spec1_pval,week0_sp_spec2_est,week0_sp_spec2_se,week0_sp_spec2_pval,week1_ppc_spec1_est,week1_ppc_spec1_se,week1_ppc_spec1_pval,week1_ppc_spec2_est,week1_ppc_spec2_se,week1_ppc_spec2_pval,week1_sp_spec1_est,week1_sp_spec1_se,week1_sp_spec1_pval,week1_sp_spec2_est,week1_sp_spec2_se,week1_sp_spec2_pval
share_above_60,0.630367780565086,2.96551952068334e-07+0i,0,0.31884984953164,0-1.68032209274012e-07i,0,6.61916462533743,1.09875846383198e-06+0i,0,-6.63597511079612,0-2.58304791306109e-06i,0,1.99816639686942,0-5.25665412766135e-07i,0,1.36668259224966,6.16479330327074e-07+0i,0,22.3732550800635,2.79239597114261e-06+0i,0,28.1261706224351,2.84759853730455e-06+0i,0
log_mean_income,-0.0015375428226012,1.45694892496869e-09+0i,0,0.000998601076882529,4.05615185910807e-09+0i,0,-0.0768045004417873,0-1.32155840582802e-08i,0,-0.0343830100464621,4.18429688598393e-08+0i,0,-0.00437256169557364,0-1.92419048440045e-09i,0,0.0038052526714869,0-6.67924338290672e-09i,0,-0.0517360603363125,1.13729772043666e-08+0i,0,0.024641923609832,0-5.9074697566276e-08i,0
share_public_trans,-0.00257480010132024,0-1.26386535116413e-09i,0,-0.00328435251465569,0-8.19398840969774e-10i,0,-0.0329595133282866,0-6.37568784336495e-09i,0,-0.0295882579460244,1.52513200965911e-08+0i,0,-0.00336184534266612,2.14976336058325e-09+0i,0,-0.00513646395346549,0-1.59108099394246e-09i,0,-0.0220777992336151,0-1.81109525509731e-08i,0,-0.0198691292879654,0-7.41236981374221e-09i,0
uninsured,-0.0150144679300444,5.03811860262148e-09+0i,0,-0.0175195075749388,0-4.41405375106192e-09i,0,0.110503960596641,0-5.07587263466216e-08i,0,0.0889200876022644,0-8.96394954908529e-08i,0,-0.00182520730679583,0-5.44769870834731e-09i,0,1.72003790535224e-05,0-8.68095924459358e-09i,0,0.160049955813191,4.40836175526316e-08+0i,0,0.187145886602251,0-1.98898584651425e-08i,0
share_pro_essential,0,0+0i,0,-0.0110194885065889,1.13451739049867e-08+0i,0,0,0+0i,0,0.230144815223342,1.29456973339029e-07+0i,0,0,0+0i,0,-0.0496071580779927,2.31989308618278e-08+0i,0,0,0+0i,0,-0.305060413179377,0-8.9675478328934e-08i,0
share_pro_nonessential,0,0+0i,0,-0.0100189253834181,7.98825203921068e-09+0i,0,0,0+0i,0,0.147556602030674,0-5.62528127507385e-08i,0,0,0+0i,0,-0.0315519029863392,0-1.82969000898187e-08i,0,0,0+0i,0,-0.320533055621787,0-1.31390431959748e-07i,0
share_science,0,0+0i,0,0.0389612615158855,1.71939570822593e-08+0i,0,0,0+0i,0,-1.36886898052346,2.90619501787432e-07+0i,0,0,0+0i,0,0.0996022080615855,0-5.43236262087153e-08i,0,0,0+0i,0,-0.425203713081636,0-3.73325276591478e-07i,0
share_legal,0,0+0i,0,0.00333629142931094,8.22010725857261e-09+0i,0,0,0+0i,0,-0.63775183263174,1.69696264992685e-07+0i,0,0,0+0i,0,0.0295031726679223,0-3.96731747192814e-08i,0,0,0+0i,0,-0.116490314610124,0-1.30726727830652e-07i,0
share_caregiver,0,0+0i,0,0.0192449751585268,7.12251823217038e-09+0i,0,0,0+0i,0,-0.0357077040019355,0-1.66185176850911e-07i,0,0,0+0i,0,0.0476497203456381,0-2.0160921404981e-08i,0,0,0+0i,0,-0.0548963088899631,0-1.29583273124408e-07i,0
share_health,0,0+0i,0,0.0299750729819951,6.82880659770893e-09+0i,0,0,0+0i,0,0.883231055021912,0-1.28411324039309e-07i,0,0,0+0i,0,0.0651320293339094,0-2.52113079910816e-08i,0,0,0+0i,0,0.489431616763581,0-1.33809759859455e-07i,0
share_fire,0,0+0i,0,0.0456492125483159,1.22080045108595e-08+0i,0,0,0+0i,0,2.49821466322805,0-1.0861313440388e-07i,0,0,0+0i,0,0.105431176995617,0-2.62775958455136e-08i,0,0,0+0i,0,0.0670080687347744,0-1.07904648623184e-07i,0
share_police,0,0+0i,0,0.0903442109444648,5.75723492728109e-09+0i,0,0,0+0i,0,-0.00313680306468985,0-3.88101454193802e-08i,0,0,0+0i,0,0.083918668225944,0-1.61160466072087e-08i,0,0,0+0i,0,0.304509742788039,0-1.75259128213571e-07i,0
share_reg_essential,0,0+0i,0,0.0256207795315752,4.12867205532331e-09+0i,0,0,0+0i,0,0.521946273464578,0-2.61409178387192e-08i,0,0,0+0i,0,0.0499773153062207,8.57047668795396e-09+0i,0,0,0+0i,0,0.14481843393092,3.59075274025269e-08+0i,0
share_reg_nonessential,0,0+0i,0,-0.0266873642071039,1.24464988339496e-08+0i,0,0,0+0i,0,0.145429881574832,1.16976462782235e-07+0i,0,0,0+0i,0,-0.0879576618026358,1.15300001067737e-08+0i,0,0,0+0i,0,-0.54756163074773,0-9.2345331396535e-08i,0
share_industrial,0,0+0i,0,-0.00810589911504159,0-4.13913974672654e-09i,0,0,0+0i,0,0.0869269411981895,0-1.63939286987336e-07i,0,0,0+0i,0,-0.036579599686108,0-2.93448124573545e-08i,0,0,0+0i,0,-0.126375410567499,0-1.62334961364794e-07i,0
share_tec_essential,0,0+0i,0,-0.0693976428420734,1.49321167268887e-08+0i,0,0,0+0i,0,-1.63325716544839,0-1.86327010389481e-07i,0,0,0+0i,0,-0.0208010628493842,0-3.96191929193629e-08i,0,0,0+0i,0,-0.424110451675915,0-2.6887030868887e-07i,0
share_transportation,0,0+0i,0,0.0532863862173195,2.25373217373564e-09+0i,0,0,0+0i,0,1.10749933743637,4.15619761606959e-08+0i,0,0,0+0i,0,0.122228088270377,1.95265436618432e-09+0i,0,0,0+0i,0,0.357671013462209,5.31057219617134e-08+0i,0
